Time,Flow,Pressure,ANFIS_Output
0.3125,10,2.5,3.040202888279244
0.316,10,2.5,3.0402028884965198
0.3194,10,2.5,3.04020288870257
0.3229,10,2.5,3.040202888909776
0.3264,10,2.5,3.0402028891122503
0.3299,10,2.5,3.040202889310228
0.3333,10,2.5,3.040202889498455
0.3333,10,2.5,3.040202889498455
0.3368,10,2.5,3.0402028896882083
0.3403,10,2.5,3.040202889874088
0.3438,10,2.5,3.040202890056284
0.3472,10,2.5,3.0402028902299145
0.3507,1,4.5,4.5000003769748735
0.3542,1,4.5,4.500000381118327
0.3576,1,4.5,4.500000385139089
0.3611,1,4.5,4.500000389273875
0.3646,1,4.5,4.500000393404563
0.3681,1,4.5,4.500000397531338
0.3715,1,4.5,4.5000004015366235
0.375,1,4.5,4.5000004056561895
0.3785,1,4.5,4.500000409772335
0.3819,1,4.5,4.500000413767741
0.3854,1,4.5,4.500000417877571
0.3889,1,4.5,4.500000421984394
0.3924,1,4.5,4.500000426088338
0.3958,1,4.5,4.500000430072382
0.3993,1,4.5,4.500000434170985
0.4028,1,4.5,4.50000043826704
0.4063,1,4.5,4.500000442360644
0.4097,1,4.5,4.50000044633503
0.4132,1,4.5,4.5000004504240705
0.4167,1,4.5,4.500000454510922
0.4201,1,4.5,4.500000458478985
0.4236,1,4.5,4.500000462561748
0.4271,1,4.5,4.500000466642542
0.4306,1,4.5,4.500000470721435
0.434,1,4.5,4.5000004746820235
0.4375,1,4.5,4.5000004787573475
0.441,1,4.5,4.500000482830942
0.4444,1,4.5,4.500000486786545
0.4479,1,4.5,4.500000490856887
0.4514,1,4.5,4.500000494925649
0.4549,1,4.5,4.500000498992876
0.4583,1,4.5,4.500000502942467
0.4618,1,4.5,4.5000005070067886
0.4653,1,4.5,4.500000511069692
0.4688,1,4.5,4.500000515131213
0.4722,1,4.5,4.5000005190753996
0.4757,1,4.5,4.500000523134292
0.4792,1,4.5,4.500000527191896
0.4826,1,4.5,4.500000531132361
0.4861,10,2.5,3.0402028956638967
0.4896,10,2.5,3.04020289577567
0.4931,10,2.5,3.0402028958866434
0.4965,10,2.5,3.040202895993693
0.5,10,2.5,3.0402028961031307
0.5035,10,2.5,3.040202896211811
0.5069,10,2.5,3.0402028963166723
0.5104,10,2.5,3.0402028964238963
0.5139,10,2.5,3.0402028965303987
0.5174,10,2.5,3.04020289663619
0.5208,10,2.5,3.0402028967382893
0.5243,10,2.5,3.040202896842712
0.5278,10,2.5,3.040202896946453
0.5313,10,2.5,3.040202897049522
0.5347,10,2.5,3.040202897149011
0.5382,10,2.5,3.0402028972507797
0.5417,10,2.5,3.0402028973519006
0.5451,1,4.5,4.500000603379402
0.5486,1,4.5,4.500000607415713
0.5521,1,4.5,4.500000611451095
0.5556,1,4.5,4.500000615485557
0.559,1,4.5,4.5000006194038775
0.5625,1,4.5,4.500000623436556
0.566,1,4.5,4.500000627468341
0.5694,1,4.5,4.500000631384084
0.5729,1,4.5,4.500000635414129
0.5764,1,4.5,4.500000639443305
0.5799,1,4.5,4.500000643471617
0.5833,1,4.5,4.500000647384016
0.5868,1,4.5,4.500000651410646
0.5903,1,4.5,4.500000655436431
0.5938,1,4.5,4.5000006594613815
0.5972,1,4.5,4.5000006633705345
0.6007,1,4.5,4.5000006673938495
0.6042,1,4.5,4.500000671416343
0.6076,1,4.5,4.500000675323126
0.6111,10,2.5,3.040202899232261
0.6146,10,2.5,3.040202899321166
0.6181,10,2.5,3.0402028994095307
0.6215,10,2.5,3.0402028994948567
0.625,10,2.5,3.0402028995821655
0.6285,10,2.5,3.0402028996689436
0.6319,10,2.5,3.040202899752739
0.6354,10,2.5,3.0402028998384796
0.6389,1,4.5,4.5000007112532066
0.6424,1,4.5,4.500000715267072
0.6458,1,4.5,4.5000007191655245
0.6493,1,4.5,4.500000723177889
0.6528,1,4.5,4.5000007271895
0.6563,1,4.5,4.500000731200359
0.6597,1,4.5,4.500000735095908
0.6632,1,4.5,4.5000007391053
0.6667,1,4.5,4.50000074311395
0.6701,1,4.5,4.500000747007364
0.6736,1,4.5,4.500000751014572
0.6771,1,4.5,4.50000075502105
0.6806,1,4.5,4.500000759026803
0.684,1,4.5,4.500000762917416
0.6875,1,4.5,4.500000766921754
0.691,1,4.5,4.500000770925373
0.6944,1,4.5,4.500000774813924
0.6979,1,4.5,4.500000778816147
0.7014,1,4.5,4.500000782817661
0.7049,1,4.5,4.500000786818474
0.7083,10,2.5,3.0402029015099026
0.7118,10,2.5,3.0402029015848537
0.7153,10,2.5,3.0402029016593337
0.7188,10,2.5,3.0402029017333434
0.7222,10,2.5,3.0402029018047907
0.7257,10,2.5,3.0402029018778753
0.7292,10,2.5,3.0402029019504924
0.7326,10,2.5,3.040202902020585
